Title,NARelease,EURelease,Publisher
The Karate Kid,Nov-87,Unreleased,LJN
Karnov,Jan-88,Unreleased,Data East
Kick Master,Jan-92,Unreleased,Taito
Kick Off,Unreleased,22-Jul-92,Imagineer
Kickle Cubicle,Sep-90,1990,Irem
Kid Icarus,Jul-87,15-Feb-88,Nintendo
Kid Klown in Night Mayor World,Apr-93,Unreleased,Kemco
Kid Kool,Mar-90,Unreleased,Vic Tokai
Kid Niki: Radical Ninja,Nov-87,Unreleased,Data East
King's Knight,Sep-89,Unreleased,Square
Kings of the Beach,Jan-90,Unreleased,Ultra Games
King's Quest V: Absence Makes the Heart Go Yonder!,Jun-92,Unreleased,Konami
Kirby's Adventure,May-93,9-Dec-93,Nintendo
,,,HAL America
KlashBall,Jul-91,Unreleased,SOFEL
Knight Rider,Dec-89,27-Jul-90,Acclaim Entertainment
Konami Hyper Soccer,Unreleased,1992,Konami
The Krion Conquest,Jan-91,Unreleased,Vic Tokai
Krusty's Fun House,Sep-92,Unreleased,Acclaim Entertainment
Kung-Fu,18-Oct-85,15-Apr-87,Nintendo
Kung-Fu Heroes,Mar-89,Unreleased,Culture Brain
Laser Invasion,Jun-91,Unreleased,Ultra Games
Last Action Hero,Oct-93,Unreleased,Sony Imagesoft
The Last Ninja,Feb-91,Unreleased,Jaleco
The Last Starfighter,Jun-90,Unreleased,Mindscape
Lee Trevino's Fighting Golf,Sep-88,18-May-90,SNK
Legacy of the Wizard,Apr-89,Unreleased,Brøderbund
The Legend of Kage,Aug-87,Unreleased,Taito
The Legend of Prince Valiant,Unreleased,1992,Ocean Software
The Legend of Zelda,22-Aug-87,15-Nov-87,Nintendo
Legendary Wings,Jul-88,Unreleased,Capcom
Legends of the Diamond,Jan-92,Unreleased,Bandai
Lemmings,Nov-92,19-May-93,Sunsoft
L'Empereur,Nov-91,Unreleased,Koei
Les Chevaliers du Zodiaque : La Légende d'or,Unreleased,1987,Bandai[6]
Lethal Weapon,Apr-93,Unreleased,Ocean Software
Life Force,Aug-88,23-Nov-89,Konami
Little League Baseball: Championship Series,Jul-90,Unreleased,SNK
Little Nemo: The Dream Master,Sep-90,12-Dec-91,Capcom (NA)
,,,Nintendo (EU)
Little Ninja Brothers,Dec-90,Unreleased,Culture Brain
Little Samson,Nov-92,18-Mar-93,Taito
Lode Runner,Sep-87,Unreleased,Brøderbund
The Lone Ranger,Aug-91,Unreleased,Konami
Loopz,Oct-90,Unreleased,Mindscape
Low G Man: The Low Gravity Man,Sep-90,Sep-90,Taxan
Lunar Pool,Oct-87,Unreleased,FCI
M.C. Kids,Feb-92,19-May-93,Virgin Interactive (NA)
,,,Ocean Software (EU)
M.U.L.E.,Sep-90,Unreleased,Mindscape
M.U.S.C.L.E.,29-Oct-86,Unreleased,Bandai
Mach Rider,Aug-86,15-Mar-87,Nintendo
Mad Max,Jul-90,Unreleased,Mindscape
The Mafat Conspiracy,Jun-90,Unreleased,Vic Tokai
Magic Darts,Sep-91,Unreleased,Romstar
Magic Johnson's Fast Break,Mar-90,Unreleased,Tradewest
The Magic of Scheherazade,Dec-89,Unreleased,Culture Brain
Magician,Feb-91,Unreleased,Taxan
MagMax,Oct-88,Unreleased,FCI
Major League Baseball,Apr-88,Unreleased,LJN
Maniac Mansion,Sep-90,22-Oct-92,Jaleco
Mappy-Land,Apr-89,Unreleased,Taxan
Marble Madness,Mar-89,Unreleased,Milton Bradley Company
Mario Bros.,Jun-86,1-Sep-86,Nintendo
Mario Is Missing!,Jul-93,Unreleased,Mindscape
Mario's Time Machine,Jun-94,Unreleased,Mindscape
Mechanized Attack,Jun-90,Unreleased,SNK
Mega Man,Dec-87,13-Dec-89,Capcom
Mega Man 2,Jun-89,14-Dec-90,Capcom
Mega Man 3,Nov-90,20-Feb-92,Capcom (NA)
,,,Nintendo (EU)
Mega Man 4,Jan-92,21-Jan-93,Capcom (NA)
,,,Nintendo (EU)
Mega Man 5,Dec-92,18-Nov-93,Capcom (NA)
,,,Nintendo (EU)
Mega Man 6,Mar-94,Unreleased,Nintendo
Mendel Palace,Oct-90,Unreleased,Hudson Soft
Metal Gear,Jun-88,1988,Ultra Games (NA)
,,,Konami (EU)
Metal Mech,Mar-91,Unreleased,Jaleco
Metal Storm,Feb-91,Unreleased,Irem
Metroid,Aug-87,15-Jan-88,Nintendo
Michael Andretti's World GP,Jun-90,Unreleased,American Sammy
Mickey Mousecapade,Oct-88,Unreleased,Capcom
Mickey's Adventures in Numberland,Mar-94,Unreleased,Hi Tech Expressions
Mickey's Safari in Letterland,Mar-93,Unreleased,Hi Tech Expressions
Might and Magic Book One: The Secret of the Inner Sanctum,Aug-92,Unreleased,American Sammy
Mighty Bomb Jack,Jul-87,Unreleased,Tecmo
Mighty Final Fight,Jul-93,Unreleased,Capcom
Mike Tyson's Punch-Out!!,Oct-87,15-Dec-87,Nintendo
Millipede,Oct-88,Unreleased,HAL America
Milon's Secret Castle,Sep-88,Unreleased,Hudson Soft
Miracle Piano Teaching System,1990,1990,Mindscape
Mission: Impossible,Sep-90,28-Nov-91,Ultra Games
Monopoly,May-91,Unreleased,Parker Brothers
Monster in My Pocket,Jan-92,Unreleased,Konami
Monster Party,Jun-89,Unreleased,Bandai
Monster Truck Rally,Sep-91,Unreleased,INTV
Motor City Patrol,Jan-92,Unreleased,Matchbox
Mr. Gimmick!,Unreleased,19-May-93,Sunsoft
Ms. Pac-Man,Nov-93,Unreleased,Namco
Muppet Adventure: Chaos at the Carnival,Nov-90,Unreleased,Hi Tech Expressions
The Mutant Virus: Crisis in a Computer World,Apr-92,Unreleased,American Softworks
Mystery Quest,Apr-89,Unreleased,Taxan
NARC,Aug-90,Unreleased,Acclaim Entertainment
NES Open Tournament Golf,Sep-91,18-Jun-92,Nintendo
NES Play Action Football,Sep-90,Unreleased,Nintendo
New Ghostbusters II,Unreleased,1990,HAL America
Kiwi Kraze (NA),Mar-91,1991,Taito (NA)
The NewZealand Story (EU/AU),,,Ocean Software (EU/AU)
NFL,Sep-89,Unreleased,LJN
Nigel Mansell's World Championship Racing,Oct-93,Unreleased,GameTek
A Nightmare on Elm Street,Oct-90,Unreleased,LJN
Nightshade,Jan-92,Unreleased,Ultra Games
Ninja Crusaders,Dec-90,Unreleased,American Sammy
Ninja Gaiden,Mar-89,15-Aug-91,Tecmo
Ninja Gaiden II: The Dark Sword of Chaos,May-90,27-Oct-94,Tecmo
Ninja Gaiden III: The Ancient Ship of Doom,Aug-91,Unreleased,Tecmo
Ninja Kid,29-Oct-86,Unreleased,Bandai
Nintendo Campus Challenge,1991,Unreleased,Nintendo
Nintendo World Championships,1990,Unreleased,Nintendo
Nintendo World Cup,Dec-90,27-Jun-91,Nintendo
Noah's Ark,Unreleased,1992,Konami
Nobunaga's Ambition,Jun-89,Unreleased,Koei
Nobunaga's Ambition II,Apr-91,Unreleased,Koei
North & South,Dec-90,23-Jan-92,Seika
Operation Wolf,May-89,Unreleased,Taito
Orb-3D,Oct-90,Unreleased,Hi Tech Expressions
Othello,Dec-88,Unreleased,Acclaim Entertainment
Over Horizon,Unreleased,1991,Hot-B
Overlord,Jan-93,Unreleased,Virgin Interactive
P.O.W.: Prisoners of War,Sep-89,Unreleased,SNK
Pac-Man,Nov-93,Unreleased,Namco
Pac-Man,Oct-88,Unreleased,Tengen
Palamedes,Nov-90,Unreleased,Hot-B
Panic Restaurant,Aug-92,26-May-94,Taito
Paperboy,Dec-88,26-Oct-90,Mindscape
Paperboy 2,Apr-92,Unreleased,Mindscape
Parasol Stars: The Story of Bubble Bobble 3,Unreleased,1991,Ocean Software
Parodius Da!,Unreleased,1992,Palcom
Peter Pan and the Pirates,Jan-91,Unreleased,THQ
Phantom Fighter,Apr-90,Unreleased,FCI
Pictionary,Jul-90,Unreleased,LJN
Pinball,18-Oct-85,1-Sep-86,Nintendo
Pinball Quest,Jun-90,Unreleased,Jaleco
Pin*Bot,Apr-90,Unreleased,Nintendo
Pipe Dream,Sep-90,Unreleased,Bullet-Proof Software
Pirates!,Oct-91,Unreleased,Ultra Games
Platoon,Dec-88,Unreleased,Sunsoft
Popeye,Jun-86,1-Sep-86,Nintendo
Power Blade,Mar-91,23-Jan-92,Taito
Power Blade 2,Oct-92,Unreleased,Taito
Power Punch II,Jun-92,Unreleased,American Softworks
Predator,Apr-89,Unreleased,Activision
Prince of Persia,Nov-92,29-Apr-93,Virgin Interactive
Princess Tomato in the Salad Kingdom,Feb-91,Unreleased,Hudson Soft
Pro Sport Hockey,Nov-93,Unreleased,Jaleco
Pro Wrestling,Mar-87,15-Sep-87,Nintendo
Punch-Out!!,Aug-90,1991,Nintendo
The Punisher,Nov-90,Unreleased,LJN
Puss 'n Boots: Pero's Great Adventure,Jun-90,Unreleased,Electro Brain
Puzznic,Nov-90,25-Apr-91,Taito
Q*bert,Feb-89,Unreleased,Ultra Games
